2026-05-10 15:42:20,430 | INFO     | app | Iniciando aplicación
2026-05-10 15:42:20,432 | INFO     | app | Cargando cámaras desde config_camaras.cfg
2026-05-10 15:42:20,432 | INFO     | app | Cámaras cargadas
2026-05-10 15:42:20,436 | INFO     | app | Grabador iniciado CASA
2026-05-10 15:42:20,438 | INFO     | app | Grabador iniciado CEPY01
2026-05-10 15:42:20,440 | INFO     | app | Grabador iniciado CEPY02
2026-05-10 15:42:20,441 | INFO     | app | Grabador iniciado CEPY03
2026-05-10 15:42:20,446 | INFO     | app | Grabador iniciado CEPY04
2026-05-10 15:42:20,449 | INFO     | app | Grabador iniciado CEPY05
2026-05-10 15:42:20,455 | INFO     | app | Grabador iniciado CEPY06
2026-05-10 15:42:20,457 | INFO     | app | Grabador iniciado CEPY07
2026-05-10 15:42:20,459 | INFO     | app | Grabador iniciado CEPY08
2026-05-10 15:42:52,653 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 15:43:22,725 | WARNING  | app | No conecta cámara CEPY03
2026-05-10 15:43:52,734 | WARNING  | app | No conecta cámara CEPY05
2026-05-10 15:45:25,236 | INFO     | app | Iniciando aplicación
2026-05-10 15:45:25,237 | INFO     | app | Cargando cámaras desde config_camaras.cfg
2026-05-10 15:45:25,238 | INFO     | app | Cámaras cargadas
2026-05-10 15:45:25,240 | INFO     | app | Grabador iniciado CASA
2026-05-10 15:45:25,242 | INFO     | app | Grabador iniciado CEPY01
2026-05-10 15:45:25,243 | INFO     | app | Grabador iniciado CEPY02
2026-05-10 15:45:25,244 | INFO     | app | Grabador iniciado CEPY03
2026-05-10 15:45:25,245 | INFO     | app | Grabador iniciado CEPY04
2026-05-10 15:45:25,247 | INFO     | app | Grabador iniciado CEPY05
2026-05-10 15:45:25,248 | INFO     | app | Grabador iniciado CEPY06
2026-05-10 15:45:25,249 | INFO     | app | Grabador iniciado CEPY07
2026-05-10 15:45:25,251 | INFO     | app | Grabador iniciado CEPY08
2026-05-10 15:45:57,629 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 15:46:27,679 | WARNING  | app | No conecta cámara CEPY03
2026-05-10 15:46:57,707 | WARNING  | app | No conecta cámara CEPY05
2026-05-10 19:08:14,884 | INFO     | app | Iniciando aplicación
2026-05-10 19:08:14,885 | INFO     | app | Cargando cámaras desde config_camaras.cfg
2026-05-10 19:08:14,886 | INFO     | app | Cámaras cargadas
2026-05-10 19:08:14,887 | INFO     | app | Grabador iniciado CASA
2026-05-10 19:08:14,888 | INFO     | app | Grabador iniciado CEPY01
2026-05-10 19:08:14,889 | INFO     | app | Grabador iniciado CEPY02
2026-05-10 19:08:14,890 | INFO     | app | Grabador iniciado CEPY03
2026-05-10 19:08:14,891 | INFO     | app | Grabador iniciado CEPY04
2026-05-10 19:08:14,891 | INFO     | app | Grabador iniciado CEPY05
2026-05-10 19:08:14,892 | INFO     | app | Grabador iniciado CEPY06
2026-05-10 19:08:14,893 | INFO     | app | Grabador iniciado CEPY07
2026-05-10 19:08:14,893 | INFO     | app | Grabador iniciado CEPY08
2026-05-10 19:08:47,111 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:09:17,127 | WARNING  | app | No conecta cámara CEPY03
2026-05-10 19:09:47,131 | WARNING  | app | No conecta cámara CEPY05
2026-05-10 19:10:17,222 | WARNING  | app | No conecta cámara CEPY07
2026-05-10 19:45:33,148 | INFO     | app | Iniciando aplicación
2026-05-10 19:45:33,149 | INFO     | app | Cargando cámaras desde config_camaras.cfg
2026-05-10 19:45:33,150 | INFO     | app | Cámaras cargadas
2026-05-10 19:45:33,151 | INFO     | app | Grabador iniciado CASA
2026-05-10 19:45:33,152 | INFO     | app | Grabador iniciado CEPY01
2026-05-10 19:46:05,584 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:46:37,739 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:47:09,774 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:47:41,831 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:48:13,920 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:48:46,054 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:49:18,154 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:52:40,552 | INFO     | app | Iniciando aplicación
2026-05-10 19:52:40,553 | INFO     | app | Cargando cámaras desde config_camaras.cfg
2026-05-10 19:52:40,555 | INFO     | app | Cámaras cargadas
2026-05-10 19:52:40,556 | INFO     | app | Grabador iniciado CASA
2026-05-10 19:52:40,557 | INFO     | app | Grabador iniciado CEPY01
2026-05-10 19:53:12,745 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:53:44,771 | WARNING  | app | No conecta cámara CEPY01
2026-05-10 19:54:16,838 | WARNING  | app | No conecta cámara CEPY01
